First_Name: Jacob 	 Last_Name: Thomas 	 Street_Number: 320 	 Street_Name: Carroll Lane 	 City: Abbotsford 	 Province: Prince Edward Island 	 Poastal_Code: K1B 3B2 	 Country: Canada 	 Phone: 822273361 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData1.csv
First_Name:  	 Last_Name: Williams 	 Street_Number: 206 	 Street_Name: Braeburn Road 	 City: Brantford 	 Province: Prince Edward Island 	 Poastal_Code: V8C 0S2 	 Country: Canada 	 Phone: 605976764 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData36.csv
First_Name: James 	 Last_Name: Anderson 	 Street_Number: 70 	 Street_Name: Arthur Street 	 City: Blainville 	 Province: Newfoundland and Labrador 	 Poastal_Code: J0J 3V6 	 Country: Canada 	 Phone: 1164413450 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData4.csv
First_Name: Ethan 	 Last_Name:  	 Street_Number: 395 	 Street_Name: Charlton Avenue 	 City: Winnipeg 	 Province: Northwest Territories 	 Poastal_Code: B3V 2V1 	 Country: Canada 	 Phone: 699738473 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData4.csv
First_Name: William 	 Last_Name: Taylor 	 Street_Number: 61 	 Street_Name: Alton Drive 	 City: Nanaimo 	 Province: Alberta 	 Poastal_Code: G3H 0B4 	 Country: Canada 	 Phone: 395459244 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData4.csv
First_Name:  	 Last_Name: Davis 	 Street_Number: 299 	 Street_Name: Castine Way 	 City: Whitby 	 Province: Nova Scotia 	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 332732011 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData6.csv
First_Name: James 	 Last_Name: Jackson 	 Street_Number: 343 	 Street_Name: Cherry Lane 	 City: Moncton 	 Province: Nunavut 	 Poastal_Code:  	 Country: Canada 	 Phone: 263988191 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData7.csv
First_Name: Ethan 	 Last_Name: Moore 	 Street_Number: 46 	 Street_Name: Bedford Row 	 City: Repentigny 	 Province: Prince Edward Island 	 Poastal_Code: H0H 3C9 	 Country: Canada 	 Phone: 1128736185 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData7.csv
First_Name: James 	 Last_Name: Anderson 	 Street_Number: 289 	 Street_Name: Briar Place 	 City: Calgary 	 Province: Nova Scotia 	 Poastal_Code:  	 Country: Canada 	 Phone: 267943409 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData8.csv
First_Name: Liam 	 Last_Name: Miller 	 Street_Number: 120 	 Street_Name: Alm-a Ramp 	 City: Aurora 	 Province: Quebec 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 1136279228 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData9.csv
First_Name: Jacob 	 Last_Name: Moore 	 Street_Number: 432 	 Street_Name: Autumn Drive 	 City: Cape Breton 	 Province: Saskatchewan 	 Poastal_Code: E7E 3T7 	 Country: Canada 	 Phone: 337470163 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData9.csv
First_Name:  	 Last_Name: Thomas 	 Street_Number: 97 	 Street_Name: Armcrescent West Avenue 	 City: Guelph 	 Province: Nunavut 	 Poastal_Code: V8B 1P6 	 Country: Canada 	 Phone: 1088340074 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\11\CustomerData0.csv
First_Name: Liam 	 Last_Name: Thomas 	 Street_Number: 191 	 Street_Name:  	 City: Saint-J̩r̫me 	 Province: Saskatchewan 	 Poastal_Code: E4S 3C4 	 Country: Canada 	 Phone: 546035182 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\11\CustomerData11.csv
First_Name: Jacob 	 Last_Name: Jones 	 Street_Number: 420 	 Street_Name: Bauer Street 	 City: Richmond Hill 	 Province: British Columbia 	 Poastal_Code: H9S 1R4 	 Country: Canada 	 Phone: 1291521369 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\11\CustomerData2.csv
First_Name: Jacob 	 Last_Name: Brown 	 Street_Number: 352 	 Street_Name: Arvida Avenue 	 City: Richmond 	 Province: Nova Scotia 	 Poastal_Code:  	 Country: Canada 	 Phone: 768603724 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\11\CustomerData20.csv
First_Name: James 	 Last_Name: Jones 	 Street_Number: 106 	 Street_Name: Alton Drive 	 City: Drummondville 	 Province: Alberta 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 305562623 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\11\CustomerData6.csv
First_Name:  	 Last_Name: Wilson 	 Street_Number: 340 	 Street_Name: Alma Crescent 	 City: Maple Ridge 	 Province: Prince Edward Island 	 Poastal_Code: E4M 2G2 	 Country: Canada 	 Phone: 333130204 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\12\CustomerData0.csv
First_Name: James 	 Last_Name: Davis 	 Street_Number: 489 	 Street_Name: Bridget Avenue 	 City: Burnaby 	 Province: New Brunswick 	 Poastal_Code: H3J 3P2 	 Country: Canada 	 Phone: 632067072 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\12\CustomerData0.csv
First_Name: William 	 Last_Name: Anderson 	 Street_Number: 138 	 Street_Name: Barclay Avenue 	 City: Norfolk County 	 Province: Nova Scotia 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 1299997484 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\12\CustomerData1.csv
First_Name: Jacob 	 Last_Name: Williams 	 Street_Number: 285 	 Street_Name: Cabot Street 	 City: Repentigny 	 Province: Saskatchewan 	 Poastal_Code: L9R 0A0 	 Country: Canada 	 Phone: 1019136500 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\12\CustomerData1.csv
First_Name: Liam 	 Last_Name: Moore 	 Street_Number: 79 	 Street_Name: Carmichael Street 	 City: Airdrie 	 Province: Prince Edward Island 	 Poastal_Code: L4A 0T0 	 Country: Canada 	 Phone: 1037752366 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData10.csv
First_Name:  	 Last_Name: Wilson 	 Street_Number: 26 	 Street_Name: Athlone Avenue 	 City: Brampton 	 Province: Alberta 	 Poastal_Code: J0N 0Z3 	 Country: Canada 	 Phone: 909361773 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData12.csv
First_Name: William 	 Last_Name: Brown 	 Street_Number: 474 	 Street_Name: Carroll Lane 	 City: Burnaby 	 Province: Quebec 	 Poastal_Code: E4M 2G2 	 Country: Canada 	 Phone: 946448247 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData12.csv
First_Name: Liam 	 Last_Name: Williams 	 Street_Number: 77 	 Street_Name: Aster Court 	 City: Mirabel 	 Province: Nunavut 	 Poastal_Code: G3E 2K4 	 Country: Canada 	 Phone: 986356485 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData15.csv
First_Name:  	 Last_Name: Anderson 	 Street_Number: 279 	 Street_Name: Bell Road 	 City: Sarnia 	 Province: Alberta 	 Poastal_Code: N8A 0B3 	 Country: Canada 	 Phone: 421446787 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData21.csv
First_Name: Alexander 	 Last_Name: Brown 	 Street_Number: 461 	 Street_Name: Blue Willow Court 	 City: Granby 	 Province: Nunavut 	 Poastal_Code: J9T 3H4 	 Country: Canada 	 Phone: 930876083 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData22.csv
First_Name: Alexander 	 Last_Name: Miller 	 Street_Number: 446 	 Street_Name: Blenheim Terrace 	 City: St. Albert 	 Province: British Columbia 	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 1349535837 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData23.csv
First_Name: William 	 Last_Name:  	 Street_Number: 202 	 Street_Name: Cedarbank Terrace 	 City: Brantford 	 Province: Nunavut 	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 497377607 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData23.csv
First_Name: William 	 Last_Name: Moore 	 Street_Number: 294 	 Street_Name: Armstrong Court 	 City: Montreal 	 Province: Nunavut 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 106399555 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData3.csv
First_Name: Alexander 	 Last_Name: Williams 	 Street_Number: 317 	 Street_Name: Birchfield Crescent 	 City: Strathcona County 	 Province: Saskatchewan 	 Poastal_Code: N5C 2J8 	 Country: Canada 	 Phone: 1383634051 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData3.csv
First_Name:  	 Last_Name: Taylor 	 Street_Number: 137 	 Street_Name: Bedros Lane 	 City: Brossard 	 Province: Nova Scotia 	 Poastal_Code: N4N 0B9 	 Country: Canada 	 Phone: 1211992887 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData3.csv
First_Name:  	 Last_Name: Miller 	 Street_Number: 421 	 Street_Name: Chebucto Road 	 City: Burnaby 	 Province: New Brunswick 	 Poastal_Code: V8B 1P6 	 Country: Canada 	 Phone: 800239870 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData30.csv
First_Name: Liam 	 Last_Name: Wilson 	 Street_Number: 448 	 Street_Name: Cherry Lane 	 City: Belleville 	 Province: British Columbia 	 Poastal_Code: E4S 3C4 	 Country: Canada 	 Phone: 1127748171 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData30.csv
First_Name: Mason 	 Last_Name: Jackson 	 Street_Number: 409 	 Street_Name: Boscobel Road 	 City: Saint-Jean-sur-Richelieu 	 Province: Nova Scotia 	 Poastal_Code: B0T 0Y5  	 Country: Canada 	 Phone: 142577782 	 Email: Mason@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData31.csv
First_Name: Ethan 	 Last_Name: Taylor 	 Street_Number: 306 	 Street_Name: Bliss Street 	 City: Clarington 	 Province: Northwest Territories 	 Poastal_Code: E4S 3C4 	 Country: Canada 	 Phone: 449105882 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData32.csv
First_Name: Ethan 	 Last_Name:  	 Street_Number: 314 	 Street_Name: Bedford Highway 	 City: Maple Ridge 	 Province: New Brunswick 	 Poastal_Code: L4A 0T3  	 Country: Canada 	 Phone: 839701935 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData5.csv
First_Name: Jacob 	 Last_Name: Moore 	 Street_Number: 287 	 Street_Name: Chartwell Lane 	 City: Lethbridge 	 Province: British Columbia 	 Poastal_Code: H9S 1R4 	 Country: Canada 	 Phone: 628303487 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\13\CustomerData7.csv
First_Name: Mason 	 Last_Name:  	 Street_Number: 246 	 Street_Name: Armview Avenue 	 City: Ajax 	 Province: Prince Edward Island 	 Poastal_Code: L4A 0T3  	 Country: Canada 	 Phone: 1139776655 	 Email: Mason@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData1.csv
First_Name: James 	 Last_Name: Johnson 	 Street_Number: 271 	 Street_Name: Belmont On The Arm 	 City: Belleville 	 Province: Nova Scotia 	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 161758858 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData10.csv
First_Name: Ethan 	 Last_Name: Anderson 	 Street_Number: 251 	 Street_Name: Amirault Court 	 City: Kingston 	 Province: Nunavut 	 Poastal_Code: L3V 1Y8 	 Country: Canada 	 Phone: 1390158464 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData10.csv
First_Name: Ethan 	 Last_Name: Davis 	 Street_Number: 294 	 Street_Name: Cascade Drive 	 City: Grande Prairie 	 Province:  	 Poastal_Code: J9T 3H4 	 Country: Canada 	 Phone: 895372302 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData13.csv
First_Name: Alexander 	 Last_Name: Anderson 	 Street_Number: 396 	 Street_Name: Carnation Crescent 	 City: Laval 	 Province: New Brunswick 	 Poastal_Code: J9T 3H4 	 Country: Canada 	 Phone: 1252275318 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData16.csv
First_Name: Ethan 	 Last_Name: Wilson 	 Street_Number: 381 	 Street_Name: Bower Road 	 City: Burnaby 	 Province: Saskatchewan 	 Poastal_Code: G3H 0B4 	 Country: Canada 	 Phone: 693201599 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData2.csv
First_Name: Ethan 	 Last_Name: Thomas 	 Street_Number: 283 	 Street_Name: Blenheim Terrace 	 City: Fredericton 	 Province: Alberta 	 Poastal_Code: E5V 3X5 	 Country: Canada 	 Phone: 286482942 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData3.csv
First_Name: Ethan 	 Last_Name: Wilson 	 Street_Number: 153 	 Street_Name: Clovis Avenue 	 City: Terrebonne 	 Province: Prince Edward Island 	 Poastal_Code: E7E 3T7 	 Country: Canada 	 Phone: 533551159 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData3.csv
First_Name: Alexander 	 Last_Name: Wilson 	 Street_Number: 500 	 Street_Name: Chain Lake Drive 	 City: Kingston 	 Province: Nunavut 	 Poastal_Code: N5C 2J8 	 Country: Canada 	 Phone: 1407406978 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData3.csv
First_Name:  	 Last_Name: Thomas 	 Street_Number: 372 	 Street_Name: Avon Crescent 	 City: Clarington 	 Province: British Columbia 	 Poastal_Code: J9T 3H4 	 Country: Canada 	 Phone: 1389717829 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData4.csv
First_Name:  	 Last_Name: Thomas 	 Street_Number: 237 	 Street_Name: Carlton Street 	 City: Prince George 	 Province: Nova Scotia 	 Poastal_Code: G6X 2L1 	 Country: Canada 	 Phone: 524313882 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData5.csv
First_Name: James 	 Last_Name: Jackson 	 Street_Number: 153 	 Street_Name: Bedford Highway 	 City: Niagara Falls 	 Province: Newfoundland and Labrador 	 Poastal_Code: L9R 0A0 	 Country: Canada 	 Phone: 529556283 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\15\CustomerData6.csv
First_Name: William 	 Last_Name: Jones 	 Street_Number: 429 	 Street_Name: Andrew Street 	 City: Ajax 	 Province: Northwest Territories 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 688797803 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\16\CustomerData10.csv
First_Name: Ethan 	 Last_Name: Moore 	 Street_Number: 26 	 Street_Name: Almon Street 	 City: Richmond 	 Province: Nova Scotia 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 102562733 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\16\CustomerData3.csv
First_Name: Liam 	 Last_Name: Davis 	 Street_Number: 264 	 Street_Name: Cardiff Place 	 City: Victoria 	 Province: Nunavut 	 Poastal_Code: J9P 1C6 	 Country: Canada 	 Phone: 185710805 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\16\CustomerData6.csv
First_Name:  	 Last_Name: Jones 	 Street_Number: 6 	 Street_Name: Bridges Street 	 City: Longueuil 	 Province: Prince Edward Island 	 Poastal_Code: E4M 2G2 	 Country: Canada 	 Phone: 817822350 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\16\CustomerData8.csv
First_Name:  	 Last_Name: Jackson 	 Street_Number: 457 	 Street_Name: Adams Avenue 	 City: Burnaby 	 Province: Saskatchewan 	 Poastal_Code: G0H 2P3 	 Country: Canada 	 Phone: 318490084 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\16\CustomerData8.csv
First_Name: James 	 Last_Name: Taylor 	 Street_Number: 5 	 Street_Name: Birches Drive 	 City: Edmonton 	 Province: Nunavut 	 Poastal_Code: V8B 1P6 	 Country: Canada 	 Phone: 1100425675 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData0.csv
First_Name: James 	 Last_Name: Wilson 	 Street_Number: 385 	 Street_Name: Alm-e Ramp 	 City: Port Coquitlam 	 Province:  	 Poastal_Code: J9P 1C6 	 Country: Canada 	 Phone: 1345256945 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData1.csv
First_Name: Alexander 	 Last_Name: Moore 	 Street_Number: 414 	 Street_Name: Chipstone Close 	 City: Victoria 	 Province: Saskatchewan 	 Poastal_Code: H0H 3C9 	 Country: Canada 	 Phone: 1234579397 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData14.csv
First_Name: James 	 Last_Name:  	 Street_Number: 499 	 Street_Name: Ardwell Avenue 	 City: Saint-Jean-sur-Richelieu 	 Province: Nunavut 	 Poastal_Code: L0N 3J2 	 Country: Canada 	 Phone: 1256953250 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData19.csv
First_Name: Ethan 	 Last_Name: Davis 	 Street_Number: 259 	 Street_Name: Alumni Crescent 	 City: Cape Breton 	 Province: Northwest Territories 	 Poastal_Code: J9T 3H4 	 Country: Canada 	 Phone: 408649612 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData20.csv
First_Name: James 	 Last_Name: Thomas 	 Street_Number: 342 	 Street_Name: Bloomfield Street 	 City: Edmonton 	 Province: Nunavut 	 Poastal_Code: E5V 3X5 	 Country: Canada 	 Phone: 652924572 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData3.csv
First_Name: Jacob 	 Last_Name: Taylor 	 Street_Number: 311 	 Street_Name: Amberwood Court 	 City: Milton 	 Province: Nunavut 	 Poastal_Code: E4S 3C4 	 Country: Canada 	 Phone: 111920488 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData30.csv
First_Name: William 	 Last_Name: Jones 	 Street_Number: 358 	 Street_Name: Balmoral Road 	 City: Laval 	 Province: Quebec 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 349424515 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\17\CustomerData4.csv
First_Name: Jacob 	 Last_Name: Brown 	 Street_Number: 256 	 Street_Name: Brenton Place 	 City: Vancouver 	 Province: Saskatchewan 	 Poastal_Code: E4M 2G2 	 Country: Canada 	 Phone: 403485223 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData1.csv
First_Name: Mason 	 Last_Name: Anderson 	 Street_Number: 331 	 Street_Name: Birchfield Crescent 	 City: Laval 	 Province: Saskatchewan 	 Poastal_Code: J0J 3V6 	 Country: Canada 	 Phone: 837712466 	 Email: Mason@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData10.csv
First_Name: Liam 	 Last_Name: Miller 	 Street_Number: 228 	 Street_Name: Bristol Place 	 City: Burlington 	 Province: Prince Edward Island 	 Poastal_Code: L4A 0T0 	 Country: Canada 	 Phone: 817197850 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData10.csv
First_Name: Alexander 	 Last_Name:  	 Street_Number: 496 	 Street_Name: Armstrong Court 	 City:  	 Province: Nova Scotia 	 Poastal_Code: H9S 1R4 	 Country: Canada 	 Phone: 1205077681 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData14.csv
First_Name: Ethan 	 Last_Name: Thomas 	 Street_Number: 148 	 Street_Name: Bedford Highway 	 City: Sherbrooke 	 Province: Northwest Territories 	 Poastal_Code: H0H 3C9 	 Country: Canada 	 Phone: 786751908 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData16.csv
First_Name: James 	 Last_Name: Wilson 	 Street_Number: 215 	 Street_Name: Benjamin Green Drive 	 City: Kamloops 	 Province: Saskatchewan 	 Poastal_Code: L0N 3J2 	 Country: Canada 	 Phone: 405041875 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData18.csv
First_Name: James 	 Last_Name: Wilson 	 Street_Number: 136 	 Street_Name: Birmingham Street 	 City: Airdrie 	 Province: Nunavut 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 1020441917 	 Email: James@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData18.csv
First_Name: William 	 Last_Name: Williams 	 Street_Number: 260 	 Street_Name: Bond Street 	 City: North Vancouver 	 Province: Northwest Territories 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 994694200 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData19.csv
First_Name: Mason 	 Last_Name: Brown 	 Street_Number: 152 	 Street_Name: Bedford Windsor Ramp 	 City: Saint-Jean-sur-Richelieu 	 Province: British Columbia 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 603199667 	 Email: Mason@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData19.csv
First_Name: Ethan 	 Last_Name: Moore 	 Street_Number: 324 	 Street_Name: Carmichael Street 	 City: Nanaimo 	 Province: Prince Edward Island 	 Poastal_Code: L4A 0T3  	 Country: Canada 	 Phone: 353198016 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData6.csv
First_Name: William 	 Last_Name: Miller 	 Street_Number: 291 	 Street_Name: Aukland Place 	 City: Moncton 	 Province: Nunavut 	 Poastal_Code: L4A 0T0 	 Country: Canada 	 Phone: 829546009 	 Email: William@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData6.csv
First_Name: Ethan 	 Last_Name: Moore 	 Street_Number: 66 	 Street_Name: Auburn Avenue 	 City: Caledon 	 Province: Prince Edward Island 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 197649816 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\18\CustomerData7.csv
First_Name: Mason 	 Last_Name:  	 Street_Number: 209 	 Street_Name: Carriageway Crescent 	 City: Regina 	 Province: Nunavut 	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 965439398 	 Email: Mason@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\19\CustomerData0.csv
First_Name: Liam 	 Last_Name: Davis 	 Street_Number: 432 	 Street_Name: Acorn Road 	 City: Airdrie 	 Province: Northwest Territories 	 Poastal_Code: B3V 2V1 	 Country: Canada 	 Phone: 353867319 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\19\CustomerData0.csv
